date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:22:45	281/281	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Nov%202021%2007:22:45%20GMT	http://www.oispakaljaa.com/robots.txt		(from )
09:22:45	7186/7186	---M-Z	200	added ('OK')	text/html	etag:%221c12-5ac33196bad0a-gzip%22	http://www.oispakaljaa.com/	C:/Users/weste/Ohjelmointi/OispaEs/OispaEs/www.oispakaljaa.com/index.html	(from )
09:22:45	26006/26006	---M-Z	200	added ('OK')	text/css	etag:%226596-5ac33196bbcaa-gzip%22	http://www.oispakaljaa.com/style/main.css	C:/Users/weste/Ohjelmointi/OispaEs/OispaEs/www.oispakaljaa.com/style/main.css	(from http://www.oispakaljaa.com/)
09:22:45	1920/1920	---M--	200	added ('OK')	image/png	etag:%22780-5ac33196bad0a%22	http://www.oispakaljaa.com/favicon.png	C:/Users/weste/Ohjelmointi/OispaEs/OispaEs/www.oispakaljaa.com/favicon.png	(from http://www.oispakaljaa.com/)
09:22:45	281/281	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Nov%202021%2007:22:46%20GMT	http://www.oispakaljaa.com/meta/apple-touch-icon.png	C:/Users/weste/Ohjelmointi/OispaEs/OispaEs/www.oispakaljaa.com/meta/apple-touch-icon.png	(from http://www.oispakaljaa.com/)
09:22:46	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e0cf83b87c8f82a212e3291a3a1246c6%22	http://connect.facebook.net/fi_FI/all.js	C:/Users/weste/Ohjelmointi/OispaEs/OispaEs/connect.facebook.net/fi_FI/all.js	(from http://www.oispakaljaa.com/)
09:22:47	872/872	---M-Z	200	added ('OK')	application/javascript	etag:%22368-5ac33196bbcaa-gzip%22	http://www.oispakaljaa.com/js/animframe_polyfill.js	C:/Users/weste/Ohjelmointi/OispaEs/OispaEs/www.oispakaljaa.com/js/animframe_polyfill.js	(from http://www.oispakaljaa.com/)
09:22:47	3678/3678	---M-Z	200	added ('OK')	application/javascript	etag:%22e5e-5ac33196bbcaa-gzip%22	http://www.oispakaljaa.com/js/keyboard_input_manager.js	C:/Users/weste/Ohjelmointi/OispaEs/OispaEs/www.oispakaljaa.com/js/keyboard_input_manager.js	(from http://www.oispakaljaa.com/)
09:22:47	8201/8201	---M-Z	200	added ('OK')	application/javascript	etag:%222009-5ac33196bbcaa-gzip%22	http://www.oispakaljaa.com/js/html_actuator.js	C:/Users/weste/Ohjelmointi/OispaEs/OispaEs/www.oispakaljaa.com/js/html_actuator.js	(from http://www.oispakaljaa.com/)
09:22:47	2057/2057	---M-Z	200	added ('OK')	application/javascript	etag:%22809-5ac33196bbcaa-gzip%22	http://www.oispakaljaa.com/js/grid.js	C:/Users/weste/Ohjelmointi/OispaEs/OispaEs/www.oispakaljaa.com/js/grid.js	(from http://www.oispakaljaa.com/)
